timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
108713,16.80,-48.75,-6.78,-52.95,-68.25,3.87,-80.40,-74.55,100.43,-21.45,-98.25,26.14
109567,16.65,-48.75,-6.78,-52.65,-68.10,4.36,-79.80,-74.70,100.67,-21.30,-98.10,26.38
110426,16.65,-48.60,-6.78,-53.25,-68.40,4.11,-80.25,-74.70,100.43,-21.45,-98.10,26.38
111280,16.80,-48.90,-7.02,-52.80,-67.95,4.11,-80.55,-74.85,101.40,-20.25,-99.15,26.62
112134,15.75,-48.75,-6.78,-52.65,-68.25,3.39,-81.00,-74.85,101.64,-20.70,-97.35,24.93
112993,17.70,-45.15,-3.87,-49.20,-67.20,2.66,-77.55,-84.90,102.37,-23.55,-94.35,25.17
113847,16.65,-48.90,-6.53,-49.20,-67.05,2.66,-79.50,-81.75,102.85,-23.40,-93.60,25.17
114701,16.80,-48.45,-6.78,-49.50,-67.95,3.15,-79.50,-81.00,103.09,-23.40,-94.05,25.65
115560,16.65,-48.75,-6.78,-49.50,-67.50,3.39,-80.10,-80.85,102.85,-23.10,-93.30,25.65
116414,16.65,-48.90,-6.78,-49.50,-67.80,2.18,-79.80,-80.85,102.61,-23.25,-93.75,25.65
117268,16.80,-48.60,-7.50,-49.65,-68.40,2.66,-80.10,-81.60,102.61,-23.55,-93.45,25.65
118127,17.10,-48.90,-6.78,-49.80,-68.10,2.66,-80.10,-81.45,102.37,-23.40,-93.00,24.93
118981,17.10,-49.80,-8.23,-49.65,-67.95,2.90,-79.65,-80.85,102.12,-23.25,-93.15,25.65
119835,16.95,-49.20,-7.50,-49.50,-68.10,3.15,-79.20,-82.05,102.85,-23.10,-93.00,26.62
120694,16.95,-49.20,-7.26,-49.35,-68.55,2.42,-78.30,-84.15,103.09,-23.10,-93.60,25.65
121548,16.50,-49.50,-7.50,-52.65,-67.95,2.42,-82.95,-75.45,101.40,-11.85,-106.65,34.61
122402,16.65,-49.95,-6.78,-52.65,-68.10,3.87,-83.70,-71.85,101.64,-8.25,-100.05,38.72
123261,21.60,-48.45,-4.11,-54.30,-72.75,7.26,-84.45,-67.80,100.43,-6.30,-95.25,41.14
124115,22.65,-50.25,-2.90,-54.00,-71.70,6.78,-84.45,-68.85,101.16,-8.25,-100.05,39.20
124969,22.50,-50.85,-2.66,-53.40,-70.95,6.78,-84.90,-67.50,101.16,-9.90,-101.55,38.96
125828,22.35,-49.80,-4.11,-53.70,-70.95,7.26,-84.00,-67.95,102.12,-9.15,-100.50,39.20
126682,22.35,-50.25,-4.11,-53.40,-71.85,7.26,-84.30,-67.35,102.61,-9.90,-102.30,38.72
127536,21.90,-50.40,-3.63,-52.80,-71.70,7.74,-84.15,-67.80,102.12,-10.35,-103.20,38.24
128395,21.60,-49.65,-4.11,-53.25,-71.25,7.50,-83.85,-67.50,102.12,-9.75,-100.95,39.45
129249,22.05,-50.10,-4.60,-52.80,-71.40,7.74,-83.85,-67.50,102.12,-9.75,-102.15,39.69
130103,21.90,-50.40,-4.36,-53.10,-71.55,7.74,-84.00,-67.65,102.12,-10.35,-102.90,38.48
130962,21.45,-50.40,-3.87,-52.95,-71.40,7.50,-84.45,-67.65,102.61,-10.50,-105.45,35.82
131816,19.35,-50.70,-6.05,-52.20,-68.25,3.15,-80.55,-76.50,98.98,-12.60,-112.65,32.91
132670,17.10,-50.10,-6.78,-52.95,-67.35,3.15,-81.15,-74.70,99.46,-22.65,-107.55,29.77
133529,17.10,-50.10,-7.02,-52.80,-70.65,3.63,-77.85,-73.35,97.77,-11.55,-83.70,33.15
134383,27.90,-46.50,0.97,-51.75,-73.35,13.07,-74.85,-72.90,97.53,-11.85,-82.80,33.88
135237,26.10,-50.70,-0.48,-51.30,-72.45,13.55,-73.95,-70.80,99.22,-8.40,-74.10,34.61
136096,26.85,-52.65,-1.94,-51.30,-72.75,13.79,-74.40,-71.40,98.01,-8.85,-81.90,34.61
136950,25.50,-49.95,-1.21,-50.55,-72.90,13.79,-75.00,-71.25,98.49,-11.10,-85.80,34.85
137804,24.90,-51.00,-2.18,-51.45,-73.05,13.55,-74.85,-71.70,98.49,-10.95,-86.25,34.12
138663,23.55,-51.90,-3.15,-50.85,-72.90,13.79,-74.55,-72.15,99.22,-10.35,-85.35,34.12
139517,24.60,-50.85,-1.94,-50.70,-71.70,12.58,-76.20,-71.55,98.74,-9.90,-85.05,33.64
140371,24.15,-49.20,-2.18,-51.15,-72.75,12.58,-75.00,-73.80,97.77,-11.55,-85.95,32.19
141230,26.85,-45.60,-0.97,-50.70,-70.65,9.92,-75.45,-74.55,98.49,-18.45,-102.45,30.98
142084,17.85,-50.85,-6.05,-52.95,-72.45,4.36,-77.70,-70.80,101.16,-17.25,-85.80,20.33
142938,27.00,-35.25,-1.94,-54.30,-73.80,2.18,-77.85,-70.50,100.43,-22.95,-87.60,15.25
143797,31.50,-35.10,-1.45,-55.35,-75.30,3.63,-78.30,-68.10,100.19,-23.40,-88.05,17.67
144651,26.10,-40.65,-2.90,-54.30,-73.50,4.60,-77.25,-70.50,99.95,-23.70,-89.40,18.39
145505,24.60,-43.50,-3.15,-53.85,-72.75,4.36,-77.25,-70.20,100.43,-23.70,-89.55,19.12
146364,24.00,-43.20,-2.90,-54.15,-73.80,4.84,-78.00,-70.35,100.19,-22.95,-88.80,19.12
147218,24.30,-42.60,-2.90,-54.15,-73.50,4.36,-78.45,-69.75,100.19,-22.80,-87.45,19.36
148072,24.15,-42.90,-3.39,-54.15,-73.95,5.32,-78.75,-69.30,99.95,-22.20,-87.90,19.84
148931,24.60,-41.85,-2.90,-54.75,-73.50,5.08,-78.60,-69.60,99.95,-23.40,-88.95,19.12
149785,23.70,-45.15,-3.63,-53.70,-72.60,4.84,-78.75,-70.65,100.19,-23.25,-88.50,18.39
150639,23.25,-43.95,-3.15,-52.95,-71.70,5.81,-79.35,-74.40,100.91,-24.15,-100.35,27.10
151498,18.75,-50.55,-5.57,-51.45,-69.75,4.84,-79.35,-74.85,100.67,-21.90,-102.75,28.56
152352,21.00,-54.60,-5.81,-42.75,-66.60,12.10,-76.05,-86.10,92.69,-23.40,-99.00,27.59
153206,20.85,-53.10,-6.53,-45.15,-66.90,11.13,-76.80,-83.70,92.93,-22.80,-98.55,27.10
154065,20.70,-53.40,-7.50,-46.05,-67.65,11.13,-77.85,-81.90,93.90,-22.05,-97.50,27.59
154919,20.55,-54.30,-7.99,-45.90,-67.65,10.89,-77.40,-81.00,93.90,-22.20,-97.35,27.59
155773,19.95,-53.25,-7.26,-46.05,-68.10,8.95,-77.70,-82.20,93.90,-22.50,-95.55,26.86
156632,23.25,-56.40,-11.37,-45.90,-67.05,8.95,-78.30,-80.55,93.17,-23.70,-95.25,25.41
157486,19.65,-54.90,-6.29,-45.15,-66.90,8.47,-76.35,-82.50,92.20,-22.95,-95.70,26.38
158340,20.25,-52.20,-5.32,-45.15,-67.35,9.44,-77.10,-81.60,93.17,-22.05,-97.35,27.83
159199,19.50,-53.70,-6.05,-45.15,-67.50,10.16,-78.60,-80.55,93.17,-21.60,-96.90,27.59
160053,19.65,-57.00,-7.50,-45.60,-67.80,10.65,-78.00,-81.75,94.14,-21.75,-96.60,28.07
160907,21.45,-56.10,-8.23,-47.25,-69.00,11.13,-78.60,-83.25,92.69,-20.85,-94.20,26.38
161766,19.65,-54.45,-6.78,-45.75,-66.90,9.44,-76.50,-80.10,95.11,-20.55,-103.80,30.73
162620,17.25,-49.50,-7.26,-52.20,-70.50,4.11,-83.40,-74.55,100.43,-21.15,-104.10,30.73
163474,17.70,-49.50,-6.53,-52.20,-69.90,3.39,-82.95,-74.55,99.46,-21.00,-103.65,30.73
164333,17.70,-49.20,-7.50,-52.35,-69.90,3.63,-82.65,-74.70,99.70,-20.55,-104.40,30.73
165187,17.55,-49.05,-6.78,-52.65,-69.60,3.87,-82.50,-74.55,100.19,-21.15,-103.95,30.73
166041,16.95,-49.20,-7.02,-52.80,-69.45,3.87,-82.35,-74.25,99.70,-20.85,-103.95,30.98
166900,17.40,-48.90,-7.99,-52.80,-69.00,3.63,-82.65,-74.25,99.70,-21.00,-104.10,30.25
167754,17.55,-48.90,-8.23,-52.80,-69.00,4.11,-82.65,-74.55,99.46,-21.15,-103.95,31.22
168608,17.40,-49.35,-7.26,-52.80,-68.85,3.63,-82.20,-74.85,99.46,-20.85,-103.65,30.98
169467,17.70,-49.35,-7.26,-52.95,-69.15,3.87,-82.20,-74.70,99.46,-21.00,-103.95,30.49
170321,17.70,-49.35,-7.50,-53.25,-69.30,3.63,-82.35,-74.70,99.70,-21.15,-103.65,31.22
